P,D,I,C
13.16,5.20,11.34,7.47
13.18,5.15,11.37,8.24
12.56,4.81,10.96,7.55
14.30,6.78,11.72,8.18
12.66,5.45,11.28,7.74
14.02,6.49,11.19,8.63
12.88,5.42,11.10,7.23
13.39,5.76,11.43,7.34
12.36,8.17,11.83,6.80
12.53,5.25,11.20,6.87
13.65,6.31,11.39,8.41
12.87,4.91,11.05,7.29
12.62,4.86,11.35,7.61
10.63,3.67,11.16,5.95
12.27,3.85,11.34,7.03
13.77,7.37,11.68,7.80
12.98,5.26,11.22,7.87
13.42,5.42,11.04,7.94
14.54,6.44,11.12,9
11.05,6.31,10.90,6.89
12.70,5.17,11.51,7.03
12.40,5.04,10.96,6.58
13.35,5.44,11.17,7.54
14.14,9.51,10.76,7.77
12.19,4.69,10.97,7
11.24,6.77,11.67,5.91
14.48,6.44,11.16,8.71
12.51,5.28,11.21,7.30
12.24,3.91,11.10,6.77
12.34,4.65,10.77,6.94
13.17,6.82,11.31,7.46
12.96,5.21,10.77,7.09
11.44,5.47,11.18,5.82
12.17,3.70,11.20,6.67
11.97,4.01,11.16,6.62
12.24,4.38,11.02,6.97
12.95,5.15,11.27,6.76
12.22,4.66,11.04,6.07
12.61,5.57,11.10,7.05
12.44,5.65,11.44,6.81
14.66,4.71,11.15,9.38
13.16,5.73,11.41,7.27
12.61,6.70,10.94,6.46
12.61,5.36,11.18,7.15
12.89,4.29,11.31,6.94
13.96,6.19,11.64,7.95
11.71,3.78,10.95,6.49
13.96,6.44,11.70,8.10
15.45,7.68,11.27,9.80
8.60,1.21,11.01,4.86
12.64,4.94,11.38,7.10
12.73,5.29,10.93,7.19
8.58,0.90,11.10,3.52
14.03,6.97,11,8.56
13,5.71,11.53,7.67
9.96,3.45,11.10,6.81
14.77,7.05,11.17,9.14
13.25,5.20,11.34,8.01
12.57,5.35,11.17,7.14
13.47,6.31,11.18,7.82
12.82,6.15,11.53,7.15
13.54,7.01,11.24,7.28
11.63,4.70,10.89,6.19
13.26,7.10,11.37,7.73
13.79,5.99,11.55,8.05
13.48,7.50,11.36,8.16
13.42,8.38,11.53,7.42
12.32,3.10,10.84,7.02
12.84,5.10,11.84,7.46
11.70,4.61,11.10,6.15
13.28,6.54,11.24,8.28
13.73,7,11.58,8.73
12.72,6.08,11.22,6.90
13.83,6.22,11.09,8.37
13.02,5.96,11.04,7.54
11.99,4.26,11.16,7.10
13.52,4.89,11.32,8.17
13.67,5.80,10.92,8.12
12.27,4.37,11.44,7.63
13.76,5.87,11.13,8.11
12.50,4.87,10.99,6.62
12.69,5.24,11.03,7.48
13.60,6.45,11.46,7.59
13.65,7.88,13.65,7.40
13.95,7.04,11.89,8.37
12.68,6.08,11.10,6.83
9.97,2.25,11.20,4.70
11.75,4.52,11.15,6.02
12.87,5.89,11.02,7.24
13.70,5.91,11.61,8.78
14.09,6.87,11.17,8.23
13.83,4.18,11.12,8.20
13.89,6.66,11.37,8.31
12.90,5.51,10.98,7.36
12.62,5.14,10.91,7.88
13.21,5.55,11.18,7.85
10.35,2.66,11.06,6.38
13.21,5.78,11.05,7.44
13.79,6.75,11.32,8.03
12.81,5.83,11.65,7.42
13.62,6.67,11.13,8.10
12.83,5.56,11.14,7.11
13.04,5.68,11.11,7.67
11.83,6.94,11.07,5.46
11.16,3.39,11.06,9.75
12.26,4.94,10.92,7.45
11.70,7.90,10.64,8.26
14.04,6.79,11.44,8.57
12.24,5.07,10.99,7.44
13.70,5.37,10.81,8.17
14.23,6.31,11.16,8.78
13.46,8.71,11.37,7.95
12.03,4.81,11.12,6.09
12.55,5.29,11.04,7.68
13.48,6.13,11.08,8.16
12.31,3.43,11.12,6.77
13.41,5.46,11.06,8.74
13.26,5.69,11.54,7.34
13.56,6.68,11.10,7.91
12.96,6.34,11.05,7.48
12.44,4.73,10.96,7.37
11.96,4.57,11.20,6.47
13.34,6.21,11.55,7.72
12.47,5.19,11.13,7.04
13.15,5.95,11.48,7.33
11.57,4.12,11.09,6.31
12.03,5.48,11.25,7.81
13.40,5.70,11.24,7.81
12.05,5.97,11.36,5.24
12.05,6.01,11.24,6.31
13.73,3.77,11.06,9.37
14.63,6.03,11.66,8.96
14.77,9.63,11.22,8.11
13.11,5.90,11.14,7.69
